,filename_x,bug_inducing_commit,buggy author,id,directory,project name,file_exp
0,lib/ansible/module_utils/iosxr.py,eb1453a366403d8f95208517484f632b1da09778,Peter Sprygada,4,4/ansible,ansible,11
1,lib/ansible/module_utils/iosxr.py,7c6916f8d1af7fa6252aee7f7af73a5250c754a8,Peter Sprygada,4,4/ansible,ansible,10
2,lib/ansible/module_utils/iosxr.py,7c6916f8d1af7fa6252aee7f7af73a5250c754a8,Peter Sprygada,4,4/ansible,ansible,10
3,lib/ansible/modules/network/iosxr/iosxr_system.py,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,4,4/ansible,ansible,1
4,lib/ansible/modules/network/iosxr/iosxr_system.py,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,4,4/ansible,ansible,1
5,lib/ansible/modules/network/iosxr/iosxr_system.py,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,4,4/ansible,ansible,1
6,examples/prediction/category_prediction/run.py,f297d70a9bb2d36ea3585cb6e6acd95921e3d082,passiweinberger,16,16/nupic,nupic,0
7,lendingbot.py,40b86822b71fb4d4b9c5778832dfd2bebb6d3175,Evan,34,34/MikaLendingBot,MikaLendingBot,13
8,lendingbot.py,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,34,34/MikaLendingBot,MikaLendingBot,8
9,modules/Configuration.py,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,34,34/MikaLendingBot,MikaLendingBot,0
10,modules/Configuration.py,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,34,34/MikaLendingBot,MikaLendingBot,0
11,modules/Configuration.py,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,34,34/MikaLendingBot,MikaLendingBot,0
12,modules/Configuration.py,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,34,34/MikaLendingBot,MikaLendingBot,0
13,modules/Lending.py,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,34,34/MikaLendingBot,MikaLendingBot,0
14,modules/Lending.py,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,34,34/MikaLendingBot,MikaLendingBot,0
15,modules/Lending.py,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,34,34/MikaLendingBot,MikaLendingBot,0
16,modules/Lending.py,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,34,34/MikaLendingBot,MikaLendingBot,0
17,modules/Lending.py,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,34,34/MikaLendingBot,MikaLendingBot,0
